Country,Resilience
Afghanistan,1.5
Libya,1.54
Myanmar,1.63
Yemen,1.75
Central African Republic,1.79
Somalia,1.79
"Korea, DPR",1.79
Venezuela,1.88
South Sudan,1.88
Syria,1.92
Nicaragua,2.08
Burundi,2.17
Turkmenistan,2.21
Equatorial Guinea,2.21
Eritrea,2.33
"Congo, Dem, Rep,",2.38
Mali,2.38
Comoros,2.38
Chad,2.42
Haiti,2.46
Tajikistan,2.58
Guinea-Bissau,2.58
Sudan,2.71
Suriname,3.04
Iran,3.13
Zimbabwe,3.13
Guinea,3.13
Mauritania,3.13
Cameroon,3.17
Iraq,3.21
El Salvador,3.21
Belarus,3.25
Liberia,3.25
Gabon,3.25
"Congo, Rep,",3.25
Mozambique,3.29
Papua New Guinea,3.29
Belize,3.29
eSwatini,3.29
Madagascar,3.33
Turkey,3.38
Paraguay,3.42
Sri Lanka,3.42
Lebanon,3.46
Laos,3.46
Burkina Faso,3.46
Niger,3.46
Benin,3.5
Cambodia,3.63
Russia,3.79
Kyrgyzstan,3.83
Egypt,3.83
Timor-Leste,3.83
Uganda,3.88
Bosnia and Herzegovina,3.88
Uzbekistan,3.88
Moldova,3.92
Lesotho,3.92
Pakistan,3.96
Azerbaijan,3.96
Nepal,4.0
Saudi Arabia,4.0
Guyana,4.04
Sierra Leone,4.04
Honduras,4.08
Guatemala,4.08
Maldives,4.08
Tanzania,4.13
Mexico,4.21
Philippines,4.21
Indonesia,4.25
Kiribati,4.33
Peru,4.38
Algeria,4.38
Djibouti,4.38
Bangladesh,4.42
Cyprus,4.46
Angola,4.5
Togo,4.5
Tunisia,4.5
Ukraine,4.54
Zambia,4.54
Kazakhstan,4.54
Namibia,4.54
Malawi,4.58
Antigua and Barbuda,4.58
Brunei,4.58
Morocco,4.63
Panama,4.67
Bhutan,4.71
Montenegro,4.75
Ethiopia,4.75
Vietnam,4.79
Thailand,4.79
Dominican Republic,4.79
Bolivia,4.83
Ecuador,4.88
Hungary,4.88
Brazil,4.92
Sao Tome and Principe,4.92
Serbia,4.96
"St, Kitts and Nevis",5.0
Nauru,5.0
Solomon Islands,5.08
United Arab Emirates,5.13
C̫te d'Ivoire,5.13
Albania,5.13
Malta,5.13
Grenada,5.13
Vanuatu,5.13
Greece,5.17
Gambia,5.17
Dominica,5.17
Oman,5.21
Mongolia,5.21
Seychelles,5.21
San Marino,5.21
Georgia,5.25
North Macedonia,5.29
Slovakia,5.29
Tonga,5.29
Kenya,5.33
Bulgaria,5.33
Trinidad and Tobago,5.33
Palau,5.33
Cuba,5.38
"St, Vincent and the Grenadines",5.38
Jamaica,5.42
India,5.42
Qatar,5.42
Bahrain,5.42
Fiji,5.42
Ghana,5.46
Botswana,5.46
Bahamas,5.5
Kuwait,5.54
Mauritius,5.54
Rwanda,5.54
Jordan,5.58
"St, Lucia",5.58
Colombia,5.63
South Africa,5.63
Costa Rica,5.63
Monaco,5.63
China,5.67
Armenia,5.71
Nigeria,5.79
Senegal,5.79
Marshall Islands,5.79
Samoa,5.83
Poland,5.88
Micronesia (Federated States of),5.88
Malaysia,5.92
Croatia,5.92
Argentina,5.96
Romania,6.0
Slovenia,6.04
Israel,6.08
Tuvalu,6.08
Barbados,6.13
Chile,6.17
Czech Republic,6.42
Italy,6.46
Portugal,6.5
Cabo Verde,6.58
Spain,6.75
France,6.96
Switzerland,7.04
Belgium,7.04
United States,7.13
Canada,7.21
Lithuania,7.29
Ireland,7.33
Japan,7.38
Australia,7.38
Netherlands,7.46
Sweden,7.46
Germany,7.5
Austria,7.5
Uruguay,7.5
Luxembourg,7.5
United Kingdom,7.54
Latvia,7.58
Singapore,7.83
Estonia,7.88
New Zealand,7.88
Norway,7.92
Andorra,7.96
"Korea, Rep,",8.08
Denmark,8.13
Iceland,8.21
Liechtenstein,8.46
Finland,8.63
